메인,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
몬스터를 사냥하거나 겜블을 통해 획득이 가능하다,,,,,,,,장비 획득 로직,,,,,,
Cost에 맞춰 장비 장착이 가능하다,,,,,,,,아이템획득로직인 1~3번에 이어서 정의(장비가 드랍되는 것으로 선택된 경우),,,,,,
장비레벨은 플레이어에게 숨겨짐 - 장비 레벨에 따라 옵션의 변동폭에 대한 분포가 달라짐,,,,,,,,1. 장비 종류 결정,,,,,,
,,,,,,,,"  1-1. 무기, 갑옷, 투구, 장갑, 신발",,,,,,
,,,,,,,,  1-2. 장비의 종류는 monser_sub_category와 monster_grade로 결정한다(monster-drop-equip.csv 참조),,,,,,
,,,,,,,,2. 아이템 레벨 결정,,,,,,
,,,,,,,,  2-1. 몬스터 레벨에 따라 아이템 레벨을 결정한다(ex. 몬스터 레벨이 70이면 아이템 레벨은 60~80사이),,,,,,
아이템 종류,,,,,,,,3. 베이스 결정,,,,,,
등급,획득처,,,,,,,  3-1. 장비의 베이스를 결정한다(equipment-base.csv) ,,,,,,
일반,필드,재료용,,,,,,  3-2. 아이템 레벨에 따라 베이스 옵션의 최종 수치를 결정한다(아이템 레벨에 따라 곱연산),,,,,,
매직,필드,"접두사, 접미사 중 하나가 좋게 붙음",,,,,,4. 아이템 등급 결정,,,,,,
레어,"필드,보스","접두사, 접미사가 붙음",,,,,,"  4-1. 장비의 등급을 결정한다(일반, 매직, 레어, 유니크 - equip_rarity_config.csv)",,,,,,
유니크,보스,"보스 별로 1개씩, 특성은 고유화 능력치는 랜덤",,,,,,"  4-2. 아이템 등급은 랜덤하게 계산한다(아직 못정함 - 아마 몬스터 등급으로 정할듯?(노말, 엘리트, 보스같은..))",,,,,,
크래프톤,생성,,,,,,,5. 접두/접미사 결정 ,,,,,,
,,,,,,,,  5-1. 접두/접미사를 결정한다.,,,,,,
,,,,,,,,"  5-2. 접두/접미사는 랜덤으로 정해진다(매직 1개, 레어 2개, 유니크 1개)",,,,,,
아이템 옵션(기본),,,,,,,,6. 아이템 옵션 개수 및 종류 결정 ,,,,,,
,기본능력치,코스트,종류,,,,,"  6-1. 아이템 옵션 개수는 매직 1~3개, 레어 2~6개로 랜덤 생성한다(유니크는 고정된 옵션에 변동폭만 존재)",,,,,,
무기,공격력,Cost,대형/중형/소형,"대형 -> 대형유닛에 10% 추가데미지, 소형유닛에 10% 감소된 데미지",,,,7. 아이템 옵션 결정 ,,,,,,
